address;source_location;insn;indent
0x4011b0;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;TEST	%EDI,%EDI;
0x4011b2;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;JE	401315 <kernel+0x165>;
0x4011b8;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;PUSH	%RBX;
0x4011b9;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;MOV	%EDI,%EAX;
0x4011bb;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;LEA	-0x1(%RAX),%RCX;
0x4011bf;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;MOVQ	%RAX,%XMM0;
0x4011c4;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;PSHUFD	$0x44,%XMM0,%XMM1;
0x4011c9;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;MOV	%EAX,%EDI;
0x4011cb;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;AND	$-0x2,%EDI;
0x4011ce;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;LEA	(,%RAX,8),%R8;
0x4011d6;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;PXOR	%XMM0,%XMM0;
0x4011da;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;XOR	%R9D,%R9D;
0x4011dd;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;MOVDQA	0xe3b(%RIP),%XMM2;
0x4011e5;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;MOVQ	%RSI,%XMM3;
0x4011ea;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;PSHUFD	$0x44,%XMM3,%XMM3;
0x4011ef;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;JMP	401210 <kernel+0x60>;
0x4011f1;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;NOPW	%CS:(%RAX,%RAX,1);
0x401200;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;LEA	0x1(%R9),%R10;(1) 
0x401204;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;CMP	%RCX,%R9;(1) 
0x401207;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;MOV	%R10,%R9;(1) 
0x40120a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;JE	401313 <kernel+0x163>;(1) 
0x401210;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;TEST	%RDI,%RDI;(1) 
