address;source_location;insn;indent
0x401200;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;LEA	0x1(%R9),%R10;
0x401204;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;CMP	%RCX,%R9;
0x401207;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;MOV	%R10,%R9;
0x40120a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:165;JE	401313 <kernel+0x163>;
0x401210;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;TEST	%RDI,%RDI;
0x401213;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;JE	4012c0 <kernel+0x110>;
0x401219;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;MOVQ	%R9,%XMM4;
0x40121e;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;PSHUFD	$0x44,%XMM4,%XMM5;
0x401223;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;PXOR	%XMM4,%XMM4;
0x401227;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;XOR	%R10D,%R10D;
0x40122a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;NOPW	(%RAX,%RAX,1);
0x401230;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;CVTPS2PD	(%RDX,%R10,4),%XMM6;  (2) 
0x401235;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;MOVQ	%R10,%XMM7;  (2) 
0x40123a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;PSHUFD	$0x44,%XMM7,%XMM7;  (2) 
0x40123f;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;SQRTPD	%XMM6,%XMM6;  (2) 
0x401243;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;MOVDQA	%XMM7,%XMM8;  (2) 
0x401248;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:166;POR	%XMM2,%XMM8;  (2) 
0x40124d;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;PSRLQ	$0x20,%XMM7;  (2) 
0x401252;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../src/kernel.c:167;PMULUDQ	%XMM1,%XMM8;  (2) 
