address;source_location;insn;indent
0x4011b0;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;TEST	%EDI,%EDI;
0x4011b2;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;JE	4013cd <kernel+0x21d>;
0x4011b8;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;PUSH	%R15;
0x4011ba;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;PUSH	%R14;
0x4011bc;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;PUSH	%R13;
0x4011be;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;PUSH	%R12;
0x4011c0;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;PUSH	%RBX;
0x4011c1;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;MOV	%EDI,%EAX;
0x4011c3;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;LEA	-0x1(%RAX),%RCX;
0x4011c7;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;MOV	%EAX,%R8D;
0x4011ca;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;SHR	$0x3,%R8D;
0x4011ce;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;LEA	(,%RAX,8),%R9;
0x4011d6;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;MOV	%EAX,%R10D;
0x4011d9;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;AND	$-0x8,%R10D;
0x4011dd;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;MOV	%R8,%R11;
0x4011e0;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;SAL	$0x5,%R11;
0x4011e4;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;MOV	%RAX,%RBX;
0x4011e7;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;SAL	$0x6,%RBX;
0x4011eb;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;IMUL	%RAX,%R8;
0x4011ef;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;SAL	$0x6,%R8;
0x4011f3;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;ADD	%RSI,%R8;
0x4011f6;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;XORPS	%XMM0,%XMM0;
0x4011f9;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;XOR	%R14D,%R14D;
0x4011fc;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;JMP	401218 <kernel+0x68>;
0x4011fe;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;XCHG	%AX,%AX;
0x401200;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;LEA	0x1(%R14),%R15;(0) 
0x401204;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;ADD	$0x8,%RSI;(0) 
0x401208;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;ADD	$0x8,%R8;(0) 
0x40120c;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;CMP	%RCX,%R14;(0) 
0x40120f;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;MOV	%R15,%R14;(0) 
0x401212;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;JE	4013c3 <kernel+0x213>;(0) 
0x401218;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;CMP	$0x8,%EDI;(0) 
0x40121b;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;JB	40137c <kernel+0x1cc>;(0) 
0x401221;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;MOV	%RSI,%R15;(0) 
0x401224;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;XOR	%R12D,%R12D;(0) 
0x401227;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:51;NOPW	(%RAX,%RAX,1);(0) 
0x401230;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;MOVSS	(%RDX,%R12,1),%XMM1;  (2) 
0x401236;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;MOVSS	0x4(%RDX,%R12,1),%XMM2;  (2) 
0x40123d;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;  (2) 
0x401241;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;SQRTSD	%XMM1,%XMM1;  (2) 
0x401245;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;MOVSD	(%R15),%XMM3;  (2) 
0x40124a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;DIVSD	%XMM1,%XMM3;  (2) 
0x40124e;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;  (2) 
