address;source_location;insn;indent
0x1e40;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;PUSH	%RBP;
0x1e41;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;PUSH	%R15;
0x1e43;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;PUSH	%R14;
0x1e45;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;PUSH	%R13;
0x1e47;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;PUSH	%R12;
0x1e49;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;PUSH	%RBX;
0x1e4a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;SUB	$0x148,%RSP;
0x1e51;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:35;MOV	%RSI,%RBX;
0x1e54;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:37;CMP	$0x4,%EDI;
0x1e57;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:37;JNE	21d8 <main+0x398>;
0x1e5d;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:43;MOV	0x8(%RBX),%RDI;
0x1e61;/usr/include/stdlib.h:364;MOV	$0xa,%EDX;
0x1e66;/usr/include/stdlib.h:364;XOR	%ESI,%ESI;
0x1e68;/usr/include/stdlib.h:364;CALL	1080 <strtol@plt>;
0x1e6d;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:44;MOV	0x10(%RBX),%RDI;
0x1e71;/usr/include/stdlib.h:364;MOV	$0xa,%EDX;
0x1e76;/usr/include/stdlib.h:364;XOR	%ESI,%ESI;
0x1e78;/usr/include/stdlib.h:364;MOV	%RAX,%RBP;
0x1e7b;/usr/include/stdlib.h:364;CALL	1080 <strtol@plt>;
0x1e80;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:45;MOV	0x18(%RBX),%RDI;
0x1e84;/usr/include/stdlib.h:364;MOV	$0xa,%EDX;
0x1e89;/usr/include/stdlib.h:364;XOR	%ESI,%ESI;
0x1e8b;/usr/include/stdlib.h:364;MOV	%RAX,%R12;
0x1e8e;/usr/include/stdlib.h:364;CALL	1080 <strtol@plt>;
0x1e93;/usr/include/stdlib.h:364;MOV	%RAX,(%RSP);
0x1e97;/usr/include/stdlib.h:364;MOV	%EBP,%EAX;
0x1e99;/usr/include/stdlib.h:364;IMUL	%EAX,%EAX;
0x1e9c;/usr/include/stdlib.h:364;MOV	%EBP,%R15D;
0x1e9f;/usr/include/stdlib.h:364;LEA	(,%R15,4),%RSI;
0x1ea7;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;LEA	(,%R15,8),%RDX;
0x1eaf;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;XOR	%ECX,%ECX;
0x1eb1;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;MOV	%RBP,0x28(%RSP);
0x1eb6;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;MOV	%R12,0x20(%RSP);
0x1ebb;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;MOV	%RSI,0x30(%RSP);
0x1ec0;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;MOV	%RDX,0x8(%RSP);
0x1ec5;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;MOV	%RAX,0x18(%RSP);
0x1eca;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;LEA	(,%RAX,8),%RAX;
0x1ed2;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;MOV	%RAX,0x38(%RSP);
0x1ed7;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;JMP	1f18 <main+0xd8>;
0x1ed9;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;NOPL	(%RAX);
0x1ee0;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:79;XOR	%EAX,%EAX;(7) 
0x1ee2;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:79;CALL	1e30 <rdtsc>;(7) 
0x1ee7;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:80;SUB	0x40(%RSP),%RAX;(7) 
0x1eec;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:80;MOV	0x10(%RSP),%RCX;(7) 
0x1ef1;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:83;MOV	%R14,%RDI;(7) 
0x1ef4;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:80;MOV	%RAX,0x50(%RSP,%RCX,8);(7) 
0x1ef9;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:83;CALL	1030 <free@plt>;(7) 
0x1efe;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:84;MOV	%R13,%RDI;(7) 
0x1f01;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:84;CALL	1030 <free@plt>;(7) 
0x1f06;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:84;MOV	0x48(%RSP),%RAX;(7) 
0x1f0b;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:84;MOV	%RAX,%RCX;(7) 
0x1f0e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;CMP	$0x1f,%RAX;(7) 
0x1f12;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:50;JE	2066 <main+0x226>;(7) 
0x1f18;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;LEA	0x1(%RCX),%RSI;(7) 
0x1f1c;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;MOV	%RCX,0x10(%RSP);(7) 
0x1f21;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:52;TEST	%RCX,%RCX;(7) 
0x1f24;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:52;MOV	$0x1,%ECX;(7) 
0x1f29;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;LEA	0x1129(%RIP),%RDI;(7) 
0x1f30;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;MOV	$0x1f,%EDX;(7) 
0x1f35;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;MOV	(%RSP),%R8;(7) 
0x1f39;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:52;CMOVE	%R12D,%ECX;(7) 
0x1f3d;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:52;MOV	%RSI,0x48(%RSP);(7) 
0x1f42;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;XOR	%EAX,%EAX;(7) 
0x1f44;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;CALL	1050 <printf@plt>;(7) 
0x1f49;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:51;MOV	0x38(%RSP),%RDI;(7) 
0x1f4e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:57;CALL	1090 <malloc@plt>;(7) 
0x1f53;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:57;MOV	0x30(%RSP),%RDI;(7) 
0x1f58;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:57;MOV	%RAX,%R14;(7) 
0x1f5b;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:58;CALL	1090 <malloc@plt>;(7) 
0x1f60;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:62;XOR	%EDI,%EDI;(7) 
0x1f62;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:58;MOV	%RAX,%R13;(7) 
0x1f65;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:62;CALL	1060 <srand@plt>;(7) 
0x1f6a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/driver.c:62;TEST	%EBP,%EBP;(7) 
