address;source_location;insn;indent
0x401200;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;LEA	0x1(%R14),%R15;
0x401204;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;ADD	$0x8,%RSI;
0x401208;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;ADD	$0x8,%R8;
0x40120c;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;CMP	%RCX,%R14;
0x40120f;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;MOV	%R15,%R14;
0x401212;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;JE	4013c3 <kernel+0x213>;
0x401218;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;CMP	$0x8,%EDI;
0x40121b;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;JB	401379 <kernel+0x1c9>;
0x401221;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;MOV	%RSI,%R15;
0x401224;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;XOR	%R12D,%R12D;
0x401227;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:68;NOPW	(%RAX,%RAX,1);
0x401230;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSS	(%RDX,%R12,1),%XMM1;  (2) 
0x401236;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSS	0x4(%RDX,%R12,1),%XMM2;  (2) 
0x40123d;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;  (2) 
0x401241;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VSQRTSD	%XMM1,%XMM1,%XMM1;  (2) 
0x401245;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSD	(%R15),%XMM3;  (2) 
0x40124a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM0,%XMM0,%XMM0;  (2) 
0x40124e;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VDIVSD	%XMM1,%XMM3,%XMM1;  (2) 
0x401252;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VADDSD	%XMM0,%XMM1,%XMM0;  (2) 
0x401256;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSD2SS	%XMM0,%XMM0,%XMM0;  (2) 
0x40125a;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM2,%XMM2,%XMM1;  (2) 
0x40125e;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VSQRTSD	%XMM1,%XMM1,%XMM1;  (2) 
0x401262;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;LEA	(%R15,%R9,1),%R13;  (2) 
0x401266;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSD	(%R15,%R9,1),%XMM2;  (2) 
0x40126c;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM0,%XMM0,%XMM0;  (2) 
0x401270;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VDIVSD	%XMM1,%XMM2,%XMM1;  (2) 
0x401274;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VADDSD	%XMM0,%XMM1,%XMM0;  (2) 
0x401278;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSD2SS	%XMM0,%XMM0,%XMM0;  (2) 
0x40127c;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSS	0x8(%RDX,%R12,1),%XMM1;  (2) 
0x401283;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;  (2) 
0x401287;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VSQRTSD	%XMM1,%XMM1,%XMM1;  (2) 
0x40128b;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSD	(%R9,%R13,1),%XMM2;  (2) 
0x401291;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;ADD	%R9,%R13;  (2) 
0x401294;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VDIVSD	%XMM1,%XMM2,%XMM1;  (2) 
0x401298;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM0,%XMM0,%XMM0;  (2) 
0x40129c;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VADDSD	%XMM0,%XMM1,%XMM0;  (2) 
0x4012a0;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSD2SS	%XMM0,%XMM0,%XMM0;  (2) 
0x4012a4;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSS	0xc(%RDX,%R12,1),%XMM1;  (2) 
0x4012ab;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;  (2) 
0x4012af;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSD	(%R9,%R13,1),%XMM2;  (2) 
0x4012b5;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VSQRTSD	%XMM1,%XMM1,%XMM1;  (2) 
0x4012b9;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;ADD	%R9,%R13;  (2) 
0x4012bc;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VDIVSD	%XMM1,%XMM2,%XMM1;  (2) 
0x4012c0;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSS2SD	%XMM0,%XMM0,%XMM0;  (2) 
0x4012c4;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VADDSD	%XMM0,%XMM1,%XMM0;  (2) 
0x4012c8;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VCVTSD2SS	%XMM0,%XMM0,%XMM0;  (2) 
0x4012cc;/home/mathieu/Downloads/AOA-Project5/mathieu_icx/../kernel.c:70;VMOVSS	0x10(%RDX,%R12,1),%XMM1;  (2) 
