address;source_location;insn;indent
0x401230;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	(%RDX,%R12,1),%XMM1;
0x401236;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0x4(%RDX,%R12,1),%XMM2;
0x40123d;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x401241;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x401245;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R15),%XMM3;
0x40124a;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM3;
0x40124e;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x401252;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM3,%XMM0;
0x401256;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x40125a;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;XORPS	%XMM1,%XMM1;
0x40125d;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM2,%XMM1;
0x401261;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x401265;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R15,%R9,1),%XMM2;
0x40126b;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
0x40126f;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x401273;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x401277;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x40127b;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;LEA	(%R15,%R9,1),%R13;
0x40127f;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0x8(%RDX,%R12,1),%XMM1;
0x401286;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x40128a;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x40128e;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R9,%R13,1),%XMM2;
0x401294;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADD	%R9,%R13;
0x401297;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
0x40129b;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x40129f;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x4012a3;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x4012a7;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0xc(%RDX,%R12,1),%XMM1;
0x4012ae;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x4012b2;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x4012b6;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R9,%R13,1),%XMM2;
0x4012bc;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
