address;source_location;insn;indent
0x1820;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	(%RBX),%XMM4,%XMM0;
0x1824;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	(%RBP),%XMM1;
0x1829;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VUCOMISD	%XMM0,%XMM3;
0x182d;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;JA	1872 <kernel+0xa2>;
0x182f;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VSQRTSD	%XMM0,%XMM0,%XMM0;
0x1833;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM0,%XMM1,%XMM1;
0x1837;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;ADD	$0x4,%RBX;
0x183b;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;ADD	%R12,%RBP;
0x183e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM2,%XMM2,%XMM2;
0x1842;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM2,%XMM1,%XMM2;
0x1846;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSD2SS	%XMM2,%XMM2,%XMM2;
0x184a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;CMP	%R13,%RBX;
0x184d;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;JNE	1820 <kernel+0x50>;
0x1872;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:73;VMOVSS	%XMM2,0x1c(%RSP);
0x1878;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:73;MOV	%RAX,0x10(%RSP);
0x187d;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:73;MOV	%RSI,0x8(%RSP);
0x1882;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;ADD	$0x4,%RBX;
0x1886;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;VMOVSD	%XMM1,(%RSP);
0x188b;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;ADD	%R12,%RBP;
0x188e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;CALL	1160 <.plt.sec@start+0x80>;
0x1893;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;CMP	%R13,%RBX;
0x1896;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;VXORPD	%XMM3,%XMM3,%XMM3;
0x189a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;VXORPS	%XMM4,%XMM4,%XMM4;
0x189e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	(%RSP),%XMM1;
0x18a3;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSS	0x1c(%RSP),%XMM2;
0x18a9;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;MOV	0x8(%RSP),%RSI;
0x18ae;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;MOV	0x10(%RSP),%RAX;
0x18b3;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM0,%XMM1,%XMM1;
0x18b7;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM2,%XMM2,%XMM2;
0x18bb;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM2,%XMM1,%XMM2;
0x18bf;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSD2SS	%XMM2,%XMM2,%XMM2;
0x18c3;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;JNE	1820 <kernel+0x50>;
