address;source_location;insn;indent
0x1850;/home/linuxbox/AOA-Project5/kernel.c:53;VCVTSS2SD	(%RBX),%XMM4,%XMM0;
0x1854;/home/linuxbox/AOA-Project5/kernel.c:53;VUCOMISD	%XMM0,%XMM3;
0x1858;/home/linuxbox/AOA-Project5/kernel.c:53;VMOVSD	(%RBP),%XMM1;
0x185d;/home/linuxbox/AOA-Project5/kernel.c:53;JA	18a2 <kernel+0xa2>;
0x185f;/home/linuxbox/AOA-Project5/kernel.c:53;VSQRTSD	%XMM0,%XMM0,%XMM0;
0x1863;/home/linuxbox/AOA-Project5/kernel.c:53;VCVTSS2SD	%XMM2,%XMM2,%XMM2;
0x1867;/home/linuxbox/AOA-Project5/kernel.c:52;ADD	$0x4,%RBX;
0x186b;/home/linuxbox/AOA-Project5/kernel.c:52;ADD	%R12,%RBP;
0x186e;/home/linuxbox/AOA-Project5/kernel.c:53;VDIVSD	%XMM0,%XMM1,%XMM1;
0x1872;/home/linuxbox/AOA-Project5/kernel.c:53;VADDSD	%XMM2,%XMM1,%XMM2;
0x1876;/home/linuxbox/AOA-Project5/kernel.c:53;VCVTSD2SS	%XMM2,%XMM2,%XMM2;
0x187a;/home/linuxbox/AOA-Project5/kernel.c:52;CMP	%RBX,%R13;
0x187d;/home/linuxbox/AOA-Project5/kernel.c:52;JNE	1850 <kernel+0x50>;
0x18a2;/home/linuxbox/AOA-Project5/kernel.c:56;MOV	%RDX,0x18(%RSP);
0x18a7;/home/linuxbox/AOA-Project5/kernel.c:52;ADD	$0x4,%RBX;
0x18ab;/home/linuxbox/AOA-Project5/kernel.c:52;ADD	%R12,%RBP;
0x18ae;/home/linuxbox/AOA-Project5/kernel.c:52;MOV	%RSI,(%RSP);
0x18b2;/home/linuxbox/AOA-Project5/kernel.c:52;VMOVSS	%XMM2,0x14(%RSP);
0x18b8;/home/linuxbox/AOA-Project5/kernel.c:52;VMOVSD	%XMM1,0x8(%RSP);
0x18be;/home/linuxbox/AOA-Project5/kernel.c:53;CALL	1160 <.plt.sec@start+0x80>;
0x18c3;/home/linuxbox/AOA-Project5/kernel.c:52;CMP	%RBX,%R13;
0x18c6;/home/linuxbox/AOA-Project5/kernel.c:52;MOV	(%RSP),%RSI;
0x18ca;/home/linuxbox/AOA-Project5/kernel.c:52;VXORPD	%XMM3,%XMM3,%XMM3;
0x18ce;/home/linuxbox/AOA-Project5/kernel.c:53;VMOVSD	0x8(%RSP),%XMM1;
0x18d4;/home/linuxbox/AOA-Project5/kernel.c:53;VMOVSS	0x14(%RSP),%XMM2;
0x18da;/home/linuxbox/AOA-Project5/kernel.c:52;VXORPS	%XMM4,%XMM4,%XMM4;
0x18de;/home/linuxbox/AOA-Project5/kernel.c:52;MOV	0x18(%RSP),%RDX;
0x18e3;/home/linuxbox/AOA-Project5/kernel.c:53;VDIVSD	%XMM0,%XMM1,%XMM1;
0x18e7;/home/linuxbox/AOA-Project5/kernel.c:53;VCVTSS2SD	%XMM2,%XMM2,%XMM2;
0x18eb;/home/linuxbox/AOA-Project5/kernel.c:53;VADDSD	%XMM2,%XMM1,%XMM2;
0x18ef;/home/linuxbox/AOA-Project5/kernel.c:53;VCVTSD2SS	%XMM2,%XMM2,%XMM2;
0x18f3;/home/linuxbox/AOA-Project5/kernel.c:52;JNE	1850 <kernel+0x50>;
