address;source_location;insn;indent
0x1700;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;CALL	10a0 <sqrt@plt>;
0x1705;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VXORPD	%XMM8,%XMM8,%XMM8;
0x170a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x78(%RSP),%XMM15;
0x1710;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x60(%RSP),%XMM1;
0x1716;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x58(%RSP),%XMM4;
0x171c;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSS	0x4(%RSP),%XMM2;
0x1722;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x50(%RSP),%XMM5;
0x1728;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x48(%RSP),%XMM6;
0x172e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x40(%RSP),%XMM7;
0x1734;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x38(%RSP),%XMM3;
0x173a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x30(%RSP),%XMM9;
0x1740;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x28(%RSP),%XMM10;
0x1746;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x20(%RSP),%XMM11;
0x174c;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x18(%RSP),%XMM12;
0x1752;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x10(%RSP),%XMM13;
0x1758;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VMOVSD	0x70(%RSP),%XMM14;
0x175e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;ADD	0xa0(%RSP),%R13;
0x1766;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:69;ADD	$0x8,%RBP;
0x176a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM0,%XMM15,%XMM0;
0x176e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM4,%XMM1,%XMM1;
0x1772;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM2,%XMM2,%XMM2;
0x1776;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM2,%XMM1,%XMM1;
0x177a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM6,%XMM5,%XMM2;
0x177e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSD2SS	%XMM1,%XMM1,%XMM1;
0x1782;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;
0x1786;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM1,%XMM2,%XMM1;
0x178a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM3,%XMM7,%XMM2;
0x178e;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSD2SS	%XMM1,%XMM1,%XMM1;
0x1792;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;
0x1796;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM1,%XMM2,%XMM1;
0x179a;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM10,%XMM9,%XMM2;
0x179f;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSD2SS	%XMM1,%XMM1,%XMM1;
0x17a3;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;
0x17a7;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM1,%XMM2,%XMM1;
0x17ab;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM12,%XMM11,%XMM2;
0x17b0;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSD2SS	%XMM1,%XMM1,%XMM1;
0x17b4;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VCVTSS2SD	%XMM1,%XMM1,%XMM1;
0x17b8;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VADDSD	%XMM1,%XMM2,%XMM1;
0x17bc;/home/benabid-guendouzi/Documents/GitHub/AOA-Project5/kernel.c:70;VDIVSD	%XMM14,%XMM13,%XMM2;
